State,Adult obesity,Poor or fair health
NC,0.341,0.192
NC,0.332,0.192
NC,0.272,0.178
NC,0.283,0.178
NC,0.247,0.234
NC,0.235,0.234
NC,0.346,0.191
NC,0.351,0.191
NC,0.225,0.225
NC,0.243,0.225
NC,0.289,0.216
NC,0.257,0.216
NC,0.343,0.194
NC,0.319,0.194
NC,0.35,0.275
NC,0.352,0.275
NC,0.361,0.271
NC,0.357,0.271
NC,0.295,0.175
NC,0.291,0.175
NC,0.236,0.139
NC,0.236,0.139
NC,0.288,0.221
NC,0.31,0.221
NC,0.309,0.155
NC,0.293,0.155
NC,0.295,0.211
NC,0.293,0.211
NC,0.302,0.203
NC,0.313,0.203
NC,0.29,0.176
NC,0.281,0.176
NC,0.325,0.205
NC,0.339,0.205
NC,0.284,0.182
NC,0.285,0.182
NC,0.257,0.194
NC,0.256,0.194
NC,0.275,0.214
NC,0.289,0.214
NC,0.3,0.231
NC,0.316,0.231
NC,0.258,0.184
NC,0.264,0.184
NC,0.302,0.194
NC,0.292,0.194
NC,0.321,0.286
NC,0.315,0.286
NC,0.319,0.145
NC,0.304,0.145
NC,0.338,0.175
NC,0.311,0.175
NC,0.292,
NC,0.305,
NC,0.281,0.213
NC,0.278,0.213
NC,0.29,0.208
NC,0.299,0.208
NC,0.281,0.148
NC,0.265,0.148
NC,0.361,0.341
NC,0.34,0.341
NC,0.294,0.166
NC,0.288,0.166
NC,0.37,0.198
NC,0.397,0.198
NC,0.26,0.142
NC,0.259,0.142
NC,0.334,0.166
NC,0.325,0.166
NC,0.273,0.208
NC,0.312,0.208
NC,0.328,0.204
NC,0.343,0.204
NC,0.295,0.24
NC,0.295,0.24
NC,0.302,0.185
NC,0.333,0.185
NC,0.318,0.384
NC,0.331,0.384
NC,0.274,0.122
NC,0.282,0.122
NC,0.379,0.296
NC,0.392,0.296
NC,0.331,0.188
NC,0.31,0.188
NC,0.259,0.18
NC,0.239,0.18
NC,0.219,0.172
NC,0.218,0.172
NC,0.341,0.262
NC,0.334,0.262
NC,0.331,0.217
NC,0.344,0.217
NC,0.315,
NC,0.297,
NC,0.279,0.167
NC,0.283,0.167
NC,0.328,0.213
NC,0.323,0.213
NC,0.334,0.204
NC,0.343,0.204
NC,0.341,0.189
NC,0.343,0.189
NC,0.292,0.201
NC,0.292,0.201
NC,0.342,0.25
NC,0.353,0.25
NC,0.279,0.203
NC,0.286,0.203
NC,0.245,0.173
NC,0.242,0.173
NC,0.3,0.196
NC,0.29,0.196
NC,0.339,0.221
NC,0.358,0.221
NC,0.338,0.288
NC,0.313,0.288
NC,0.255,0.142
NC,0.244,0.142
NC,0.291,0.196
NC,0.304,0.196
NC,0.313,
NC,0.33,
NC,0.285,0.154
NC,0.278,0.154
NC,0.333,0.202
NC,0.319,0.202
NC,0.255,0.15
NC,0.25,0.15
NC,0.307,0.246
NC,0.356,0.246
NC,0.278,0.166
NC,0.275,0.166
NC,0.208,0.128
NC,0.213,0.128
NC,0.302,
NC,0.304,
NC,0.326,0.205
NC,0.345,0.205
NC,0.292,0.152
NC,0.269,0.152
NC,0.319,0.201
NC,0.338,0.201
NC,0.326,0.139
NC,0.333,0.139
NC,0.357,0.165
NC,0.371,0.165
NC,0.23,0.108
NC,0.251,0.108
NC,0.287,0.191
NC,0.298,0.191
NC,0.305,0.267
NC,0.349,0.267
NC,0.407,0.258
NC,0.395,0.258
NC,0.324,0.244
NC,0.342,0.244
NC,0.331,0.22
NC,0.34,0.22
NC,0.3,0.24
NC,0.273,0.24
NC,0.367,0.255
NC,0.364,0.255
NC,0.364,0.276
NC,0.357,0.276
NC,0.266,0.262
NC,0.286,0.262
NC,0.256,0.183
NC,0.314,0.183
NC,0.307,0.238
NC,0.313,0.238
NC,0.339,0.219
NC,0.33,0.219
NC,0.237,0.107
NC,0.241,0.107
NC,0.313,
NC,0.314,
NC,0.274,0.156
NC,0.268,0.156
NC,0.33,0.27
NC,0.354,0.27
NC,0.248,0.111
NC,0.253,0.111
NC,0.348,0.191
NC,0.363,0.191
NC,0.33,0.175
NC,0.338,0.175
NC,0.275,0.131
NC,0.253,0.131
NC,0.341,0.18
NC,0.321,0.18
NC,0.293,0.203
NC,0.293,0.203
NC,0.349,0.159
NC,0.373,0.159
NC,0.297,0.207
NC,0.301,0.207
NC,0.287,0.193
NC,0.271,0.193
